OBJECTID	LME_NUMBER	LME_NAME	SUM_GIS_KM	npp_sum_LME	mean_catch_tonnage_1950_2014	mean_catch_tonnage_10yr_2004_2014	npp_ton_carbon	npp_carbon_ton_per_km2	tenyr_catch_km2
60	1	East Bering Sea	1.32E+06	2.54E+17	817460.2	900743.1	2.54E+08	192.42	6.82E-01
4	2	Gulf of Alaska	1.53E+06	3.27E+17	871076.7	853269.1	3.27E+08	213.73	5.58E-01
10	3	California Current	2.22E+06	4.12E+17	865133	1036357	4.12E+08	185.59	4.67E-01
20	4	Gulf of California	2.23E+05	4.65E+16	403243.5	565684	4.65E+07	208.52	2.54E+00
21	5	Gulf of Mexico	1.54E+06	2.84E+17	1717929	1549584	2.84E+08	184.42	1.01E+00
19	6	Southeast U.S. Continental Shelf	3.03E+05	5.25E+16	195960.1	119879.2	5.25E+07	173.27	3.96E-01
12	7	Northeast U.S. Continental Shelf	3.22E+05	7.24E+16	1615234	1378106	7.24E+07	224.84	4.28E+00
9	8	Scotian Shelf	2.85E+05	5.42E+16	636525.4	213557.6	5.42E+07	190.18	7.49E-01
5	9	Labrador - Newfoundland	9.08E+05	1.49E+17	1615513	540446	1.49E+08	164.10	5.95E-01
24	10	Insular Pacific-Hawaiian	9.85E+05	1.60E+17	25715.02	41132.2	1.60E+08	162.44	4.18E-02
28	11	Pacific Central-American Coastal	1.99E+06	5.29E+17	1317627	1373116	5.29E+08	265.83	6.90E-01
25	12	Caribbean Sea	3.28E+06	4.80E+17	582963.3	566036	4.80E+08	146.34	1.73E-01
36	13	Humboldt Current	2.56E+06	6.36E+17	9753014	12212949	6.36E+08	248.44	4.77E+00
45	14	Patagonian Shelf	1.17E+06	3.40E+17	885069.6	1454744	3.40E+08	290.60	1.24E+00
43	15	South Brazil Shelf	5.69E+05	1.01E+17	246410.8	226589	1.01E+08	177.50	3.98E-01
35	16	East Brazil Shelf	1.08E+06	1.99E+17	299249.7	227844.7	1.99E+08	184.26	2.11E-01
31	17	North Brazil Shelf	1.06E+06	3.36E+17	484467.2	434749.5	3.36E+08	316.98	4.10E-01
61	18	Canadian Eastern Arctic - West Greenland	1.37E+06	1.89E+17	415992.2	293202.2	1.89E+08	137.96	2.14E-01
52	19	Greenland Sea	1.20E+06	1.63E+17	120220.2	103623.6	1.63E+08	135.83	8.64E-02
54	20	Barents Sea	1.98E+06	3.29E+17	2217815	1224207	3.29E+08	166.16	6.18E-01
53	21	Norwegian Sea	1.06E+06	1.95E+17	768890.4	1153543	1.95E+08	183.96	1.09E+00
3	22	North Sea	6.94E+05	1.53E+17	3005684	1978991	1.53E+08	220.46	2.85E+00
1	23	Baltic Sea	3.95E+05	7.87E+16	857268.2	904241.6	7.87E+07	199.24	2.29E+00
6	24	Celtic-Biscay Shelf	7.62E+05	1.40E+17	1239133	1496486	1.40E+08	183.73	1.96E+00
14	25	Iberian Coastal	3.05E+05	4.64E+16	788441.7	477247.1	4.64E+07	152.13	1.56E+00
13	26	Mediterranean Sea	2.53E+06	2.42E+17	1907188	1908960	2.42E+08	95.65	7.55E-01
17	27	Canary Current	1.13E+06	1.78E+17	5294862	6023521	1.78E+08	157.52	5.33E+00
32	28	Guinea Current	1.93E+06	3.15E+17	2267889	3512591	3.15E+08	163.21	1.82E+00
37	29	Benguela Current	1.47E+06	3.34E+17	2215986	1559779	3.34E+08	227.21	1.06E+00
40	30	Agulhas Current	2.64E+06	5.26E+17	753923.3	693342.5	5.26E+08	199.24	2.63E-01
33	31	Somali Coastal Current	8.46E+05	1.92E+17	151023.9	236958.7	1.92E+08	226.95	2.80E-01
22	32	Arabian Sea	3.95E+06	6.99E+17	3183722	4874148	6.99E+08	176.96	1.23E+00
23	33	Red Sea	4.63E+05	5.14E+16	119131.2	168968.9	5.14E+07	111.02	3.65E-01
27	34	Bay of Bengal	3.69E+06	6.77E+17	4317424	7345279	6.77E+08	183.47	1.99E+00
30	35	Gulf of Thailand	3.83E+05	6.17E+16	2690161	3562094	6.17E+07	161.10	9.30E+00
26	36	South China Sea	3.19E+06	5.84E+17	5106362	9519079	5.84E+08	183.07	2.98E+00
29	37	Sulu-Celebes Sea	1.02E+06	1.96E+17	1035794	1834707	1.96E+08	192.16	1.80E+00
34	38	Indonesian Sea	2.28E+06	4.56E+17	1886336	3397169	4.56E+08	200.00	1.49E+00
38	39	North Australian Shelf	7.85E+05	1.97E+17	58837.51	46059.26	1.97E+08	250.96	5.87E-02
39	40	Northeast Australian Shelf	1.29E+06	2.37E+17	38807.1	27896.15	2.37E+08	183.72	2.16E-02
42	41	East Central Australian Shelf	6.56E+05	1.15E+17	48671.96	31034.95	1.15E+08	175.30	4.73E-02
46	42	Southeast Australian Shelf	1.19E+06	1.79E+17	41140.18	31069	1.79E+08	150.42	2.61E-02
48	43	South West Australian Shelf	1.02E+06	1.37E+17	33749.81	36816	1.37E+08	134.31	3.61E-02
49	44	West Central Australian Shelf	5.82E+05	1.09E+17	23118.92	30336.76	1.09E+08	187.29	5.21E-02
41	45	Northwest Australian Shelf	9.17E+05	1.98E+17	34604.56	41706.19	1.98E+08	215.92	4.55E-02
44	46	New Zealand Shelf	9.70E+05	1.60E+17	421521	484580.9	1.60E+08	164.95	5.00E-01
18	47	East China Sea	7.82E+05	1.55E+17	4421306	6267833	1.55E+08	198.21	8.02E+00
16	48	Yellow Sea	4.41E+05	1.43E+17	2360017	3686046	1.43E+08	324.26	8.36E+00
15	49	Kuroshio Current	1.33E+06	1.91E+17	2308732	1861202	1.91E+08	143.61	1.40E+00
7	50	Sea of Japan	9.90E+05	1.36E+17	3011760	2703650	1.36E+08	137.37	2.73E+00
8	51	Oyashio Current	5.34E+05	1.10E+17	1125848	1075635	1.10E+08	205.99	2.01E+00
2	52	Sea of Okhotsk	1.56E+06	3.51E+17	3485871	4285041	3.51E+08	225.00	2.75E+00
58	53	West Bering Sea	7.08E+05	1.59E+17	490206.4	646951.1	1.59E+08	224.58	9.14E-01
66	54	Northern Bering - Chukchi Seas	1.34E+06	1.69E+17	246255.8	332989.8	1.69E+08	126.12	2.48E-01
63	55	Beaufort Sea	1.09E+06	7.32E+16	460.0801	332.0988	7.32E+07	67.16	3.05E-04
57	56	East Siberian Sea	6.32E+05	7.20E+16	2352.286	2292.267	7.20E+07	113.92	3.63E-03
56	57	Laptev Sea	8.69E+05	2.87E+17	2683.58	2661.867	2.87E+08	330.26	3.06E-03
55	58	Kara Sea	9.89E+05	1.61E+17	6266.055	1437.491	1.61E+08	162.79	1.45E-03
51	59	Iceland Shelf and Sea	4.82E+05	7.36E+16	1280634	1185061	7.36E+07	152.70	2.46E+00
50	60	Faroe Plateau	1.04E+05	1.76E+16	175917.5	299968.4	1.76E+07	169.23	2.88E+00
47	61	Antarctica	4.34E+06	1.66E+17	54977.57	63565.81	1.66E+08	38.25	1.46E-02
11	62	Black Sea	4.63E+05	2.38E+16	759990.4	848725.4	2.38E+07	51.40	1.83E+00
62	63	Hudson Bay Complex	1.25E+06	1.87E+17	2153.33	1813.724	1.87E+08	149.60	1.45E-03
59	65	Aleutian Islands	2.47E+05	4.12E+16	429400.7	701188.4	4.12E+07	166.80	2.84E+00
