County	Manor	Estate	start	end	wheat_gross_yield_per_seed_ratio
Hampshire	Alresford	Bishop of Winchester	1349	1350	2.89
Hampshire	Alresford	Bishop of Winchester	1350	1351	3.09
Hampshire	Alresford	Bishop of Winchester	1351	1352	4.25
Hampshire	Alresford	Bishop of Winchester	1352	1353	3.17
Hampshire	Alresford	Bishop of Winchester	1353	1354	
Hampshire	Alresford	Bishop of Winchester	1354	1355	2.83
Hampshire	Alresford	Bishop of Winchester	1355	1356	2.62
Hampshire	Alresford	Bishop of Winchester	1356	1357	3.66
Hampshire	Alresford	Bishop of Winchester	1357	1358	4.37
Hampshire	Alresford	Bishop of Winchester	1358	1359	3.39
Hampshire	Alresford	Bishop of Winchester	1359	1360	2.93
Hampshire	Alresford	Bishop of Winchester	1360	1361	4.39
Hampshire	Alresford	Bishop of Winchester	1361	1362	0.97
Hampshire	Alresford	Bishop of Winchester	1362	1363	2.51
Hampshire	Alresford	Bishop of Winchester	1363	1364	3
Hampshire	Alresford	Bishop of Winchester	1364	1365	2.23
Hampshire	Alresford	Bishop of Winchester	1365	1366	
Hampshire	Alresford	Bishop of Winchester	1366	1367	1.94
Hampshire	Alresford	Bishop of Winchester	1367	1368	3.23
Hampshire	Alresford	Bishop of Winchester	1368	1369	2.21
Hampshire	Alresford	Bishop of Winchester	1369	1370	3.84
Hampshire	Alresford	Bishop of Winchester	1370	1371	3.47
Hampshire	Alresford	Bishop of Winchester	1371	1372	
Hampshire	Alresford	Bishop of Winchester	1372	1373	
Hampshire	Alresford	Bishop of Winchester	1373	1374	2.83
Hampshire	Alresford	Bishop of Winchester	1374	1375	3.44
Hampshire	Alresford	Bishop of Winchester	1375	1376	3.39
Hampshire	Alresford	Bishop of Winchester	1376	1377	4.15
Hampshire	Alresford	Bishop of Winchester	1377	1378	5.01
Hampshire	Alresford	Bishop of Winchester	1378	1379	2.53
Hampshire	Alresford	Bishop of Winchester	1379	1380	
Hampshire	Alresford	Bishop of Winchester	1380	1381	3.31
Hampshire	Alresford	Bishop of Winchester	1381	1382	2.84
Hampshire	Alresford	Bishop of Winchester	1382	1383	3.93
Hampshire	Alresford	Bishop of Winchester	1383	1384	3.76
Hampshire	Alresford	Bishop of Winchester	1384	1385	
Hampshire	Alresford	Bishop of Winchester	1385	1386	
Hampshire	Alresford	Bishop of Winchester	1386	1387	3.75
Hampshire	Alresford	Bishop of Winchester	1387	1388	3.93
Hampshire	Alresford	Bishop of Winchester	1388	1389	
Hampshire	Alresford	Bishop of Winchester	1389	1390	
Hampshire	Alresford	Bishop of Winchester	1390	1391	
Hampshire	Alresford	Bishop of Winchester	1391	1392	
Hampshire	Alresford	Bishop of Winchester	1392	1393	3.09
Hampshire	Alresford	Bishop of Winchester	1393	1394	4.47
Hampshire	Alresford	Bishop of Winchester	1394	1395	2.41
Hampshire	Alresford	Bishop of Winchester	1395	1396	1.4
Hampshire	Alresford	Bishop of Winchester	1396	1397	
Hampshire	Alresford	Bishop of Winchester	1397	1398	2.33
Hampshire	Alresford	Bishop of Winchester	1398	1399	2.74
Hampshire	Alresford	Bishop of Winchester	1399	1400	2.18
Hampshire	Alresford	Bishop of Winchester	1400	1401	2.34
Hampshire	Alresford	Bishop of Winchester	1401	1402	
Hampshire	Alresford	Bishop of Winchester	1402	1403	
Hampshire	Alresford	Bishop of Winchester	1403	1404	
Hampshire	Alresford	Bishop of Winchester	1404	1405	3.89
Hampshire	Alresford	Bishop of Winchester	1405	1406	2.15
Hampshire	Alresford	Bishop of Winchester	1406	1407	
Hampshire	Alresford	Bishop of Winchester	1407	1408	2.12
Hampshire	Alresford	Bishop of Winchester	1408	1409	2.59
Hampshire	Alresford	Bishop of Winchester	1409	1410	3.48
Hampshire	Alresford	Bishop of Winchester	1410	1411	2.74
Hampshire	Alresford	Bishop of Winchester	1411	1412	3.59
Hampshire	Alresford	Bishop of Winchester	1412	1413	3.08
Hampshire	Alresford	Bishop of Winchester	1413	1414	2.8
Hampshire	Alresford	Bishop of Winchester	1414	1415	3.1
Hampshire	Alresford	Bishop of Winchester	1415	1416	2.89
Hampshire	Alresford	Bishop of Winchester	1416	1417	
Hampshire	Alresford	Bishop of Winchester	1417	1418	2.43
Hampshire	Alresford	Bishop of Winchester	1418	1419	
Hampshire	Alresford	Bishop of Winchester	1419	1420	2.86
Hampshire	Alresford	Bishop of Winchester	1420	1421	2.88
Hampshire	Alresford	Bishop of Winchester	1421	1422	
Hampshire	Alresford	Bishop of Winchester	1422	1423	3.51
Hampshire	Alresford	Bishop of Winchester	1423	1424	3.71
Hampshire	Alresford	Bishop of Winchester	1424	1425	
