The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Berkshire,Billingbear,Bishop of Winchester,1349,1350,1.86,,,1.92,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1350,1351,1.45,,,2.43,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1351,1352,3.46,,,0.96,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1352,1353,6.4,,,1.92,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1353,1354,,,,2.18,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1354,1355,,,,2.05,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1355,1356,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1356,1357,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1357,1358,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1358,1359,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1359,1360,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1360,1361,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1361,1362,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1362,1363,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1363,1364,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1364,1365,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1365,1366,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1366,1367,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1367,1368,3.32,,,1.72,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1368,1369,2.53,,,2.26,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1369,1370,2.62,,,2.54,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1370,1371,1.94,,,2.04,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1371,1372,2.98,,,2.38,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1372,1373,4.52,,,3.12,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1373,1374,2.16,,,2.4,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1374,1375,2.29,,,2.42,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1375,1376,3.97,,,3.11,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1376,1377,4.94,,,3.15,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1377,1378,3.32,,,2.86,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1378,1379,3.26,,,3.42,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1379,1380,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1380,1381,3.38,,,3.3,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1381,1382,5.17,,,3.11,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1382,1383,4.47,,,3.66,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1383,1384,3.86,,,4.02,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1384,1385,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1385,1386,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1386,1387,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1387,1388,6.64,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1388,1389,2.28,,,2.67,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1389,1390,2.33,,,1.77,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1390,1391,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1391,1392,4.15,,,3.22,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1392,1393,3.4,,,3.17,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1393,1394,3.46,,,2.47,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1394,1395,3.54,,,2.63,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1395,1396,3.22,,,2.47,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1396,1397,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1397,1398,3.71,,,2.55,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1398,1399,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1399,1400,2.19,,,,Titow (to 1349); Farmer (from 1350)
