The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Hampshire,Alresford,Bishop of Winchester,1210,1211,2.23,2.35,,1.71,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1217,1218,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1218,1219,,2.15,,2.06,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1219,1220,,4.11,,1.9,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1223,1224,1.97,3.05,,1.95,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1224,1225,,3.09,,1.55,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1225,1226,2.51,4,,2.47,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1231,1232,3.95,5.91,,2.64,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1235,1236,4.35,5.1,,3.03,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1244,1245,2.01,2.58,,1.81,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1245,1246,1.87,2.16,,1.97,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1246,1247,1.54,4.12,,1.94,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1247,1248,3.77,3.53,,2.17,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1251,1252,3.75,2.77,,2.26,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1252,1253,2.68,3.74,,2.34,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1253,1254,2.94,3.74,,2.73,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1256,1257,1.84,3.16,,2.41,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1264,1265,2.1,2.89,,2.01,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1267,1268,4.09,2.93,,2.81,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1268,1269,2.33,3.22,,3.15,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1269,1270,3.2,2.84,,2.32,Titow (to 1349); Farmer (from 1350)
